Date,Open,High,Low,Close,Volume,Change
2023-11-14,137734,146759,136557,143032,2918925,0.059590482116928856
2023-11-15,154805,154805,142247,145191,2644191,0.015094524302253998
2023-11-16,143228,149115,138127,139501,1959884,-0.039189756940857245
2023-11-17,136949,137734,129690,133222,2797389,-0.04501043003275962
2023-11-20,131456,144798,130671,142836,3194429,0.07216525799042195
2023-11-21,144406,146564,137539,142248,2395252,-0.004116609258170256
2023-11-22,139697,141659,135969,137343,1670375,-0.03448203138181205
2023-11-23,137342,138912,135576,137931,868359,0.004281252047792838
2023-11-24,138324,139305,135969,136362,895464,-0.011375252843813244
2023-11-27,138716,138716,133222,135773,1263447,-0.004319385165955314
2023-11-28,135969,144602,135773,139501,2298664,0.027457594661677964
2023-11-29,142444,145975,138520,145191,2415929,0.04078823807714649
2023-11-30,142639,146760,140873,146760,1911073,0.010806454945554433
2023-12-01,143620,144994,138911,142051,1717525,-0.0320863995639139
2023-12-04,137931,140285,130083,130868,8037236,-0.07872524656637403
2023-12-05,131260,133026,127728,129102,2195159,-0.013494513555643906
2023-12-06,129494,131456,125766,125767,1994058,-0.025832287648525964
2023-12-07,127336,127925,119880,124001,2047354,-0.01404183927421343
2023-12-08,125570,131849,124393,130868,2336838,0.05537858565656739
2023-12-11,132633,134399,130278,130475,1737366,-0.003003025949812055
2023-12-12,130082,131456,128120,129494,1213031,-0.007518681739796862
2023-12-13,126551,128120,123019,123412,2041452,-0.04696742706225776
2023-12-14,126943,127335,118310,119684,3265375,-0.03020775937510134
2023-12-15,123215,130082,122234,126355,3975043,0.05573844457070276
2023-12-18,132045,141070,129690,136754,5975417,0.08229986941553569
2023-12-19,138715,143817,136753,143817,3672068,0.05164748380303319
2023-12-20,145386,145583,140874,142640,2077303,-0.008184011625885668
2023-12-21,140481,144013,134595,135773,3550088,-0.048142176107683676
2023-12-22,137734,138323,130671,131064,2098796,-0.034682889823455354
2023-12-26,128906,130868,124393,125963,2651092,-0.03891991698712083
2023-12-27,126355,130475,124589,126159,2258089,0.0015560124798552621
2023-12-28,128121,128709,123804,126944,1326586,0.006222306771613617
2024-01-02,127139,129494,124980,125178,1273952,-0.013911646080161377
2024-01-03,123608,124785,121449,121646,1404443,-0.028215820671363967
